Season,Birth_place,,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
